,,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Number of agricultural businesses,Number of agricultural businesses,Number of agricultural businesses,Number of agricultural businesses,Number of agricultural businesses,Number of agricultural businesses,Number of agricultural businesses,Number of agricultural businesses
Commodity description,,Area of holding - Total area (ha) (a),"Water source - Groundwater (e.g. bores, springs, wells) - Total volume used (ML)",Water source - Total volume of water from all sources (ML) (b),Water source - Water taken from on-farm dams or tanks - Total volume used (ML),"Water source - Water taken from rivers, creeks, lakes, etc. - Total volume used (ML)",Water use - Total application rate (ML/ha),Water use - Total area watered (ha),Water use - Total volume applied (ML),Area of holding - Total area (ha) (a),"Water source - Groundwater (e.g. bores, springs, wells) - Total volume used (ML)",Water source - Total volume of water from all sources (ML) (b),Water source - Water taken from on-farm dams or tanks - Total volume used (ML),"Water source - Water taken from rivers, creeks, lakes, etc. - Total volume used (ML)",Water use - Total application rate (ML/ha),Water use - Total area watered (ha),Water use - Total volume applied (ML)
Region label,Year,,,,,,,,,,,,,,,,
Bayonet Head - Lower King,2020,377.98,,,,,,,,3.0,,,,,,,
Bayview - Elanora Heights,2020,11.03,,26.01,18.58,,4.48,6.07,27.21,4.0,,3.0,3.0,,0.0,3.0,3.0
Beachmere - Sandstone Point,2020,319.59,16.46,59.45,40.67,,1.68,37.67,63.32,17.0,6.0,10.0,9.0,,0.0,10.0,10.0
Beaconsfield - Officer,2020,1759.6,,,,,,,,6.0,,,,,,,
Beaudesert,2020,121846.66,3160.26,10958.47,475.84,6571.96,2.93,3566.92,10450.25,210.0,35.0,71.0,7.0,47.0,0.0,71.0,71.0
Beaufort,2020,138505.83,,506.35,97.32,172.05,3.19,159.16,507.45,189.0,,5.0,2.0,1.0,0.0,5.0,5.0
Beaumont - Glen Osmond,2020,271.31,,,,,,,,1.0,,,,,,,
Beauty Point - Beaconsfield,2020,6089.01,48.17,806.75,545.8,4.61,1.62,462.96,748.49,31.0,2.0,16.0,9.0,1.0,0.0,16.0,16.0
Beckenham - Kenwick - Langford,2020,7.0,,,,,,,,1.0,,,,,,,
Beechboro,2020,82.86,276.39,276.39,,,6.82,40.52,276.39,10.0,8.0,8.0,,,0.0,8.0,8.0
Beechworth,2020,5316.52,280.11,637.36,109.35,229.36,1.82,341.54,620.35,40.0,14.0,17.0,3.0,2.0,0.0,17.0,17.0
Beeliar - Wattleup,2020,71.53,511.09,511.09,,,14.08,36.37,511.92,12.0,8.0,8.0,,,0.0,8.0,8.0
Beerwah,2020,5766.79,45.63,287.95,225.08,9.3,1.0,357.46,356.96,45.0,2.0,19.0,16.0,4.0,0.0,19.0,19.0
Bega - Tathra,2020,8715.29,16.23,1787.22,1.88,1745.66,1.74,1038.44,1802.92,27.0,1.0,11.0,2.0,7.0,0.0,11.0,11.0
Bega-Eden Hinterland,2020,71704.12,,4508.47,418.73,3978.62,2.28,1834.86,4175.82,192.0,,33.0,10.0,27.0,0.0,33.0,33.0
Belair,2020,358.75,,,,,,,,1.0,,,,,,,
Belgian Gardens - Pallarenda,2020,16441.77,,,,,,,,1.0,,,,,,,
Belgrave - Selby,2020,168.52,1.31,346.8,31.44,314.06,8.82,39.34,346.8,10.0,1.0,2.0,1.0,2.0,0.0,2.0,2.0
Bellingen,2020,4362.25,,217.47,24.82,180.85,1.14,190.99,217.47,31.0,,2.0,2.0,1.0,0.0,2.0,2.0
Belmont - Gumdale,2020,131.81,45.04,132.16,8.32,,4.67,18.65,87.12,3.0,1.0,2.0,1.0,,0.0,2.0,2.0
Belmore - Belfield,2020,357.62,,,,,,,,1.0,,,,,,,
Benalla,2020,19550.31,,216.55,1.29,208.61,1.83,106.21,193.88,56.0,,5.0,1.0,3.0,0.0,5.0,5.0
Benalla Surrounds,2020,126460.0,79.9,1831.18,130.76,1231.29,1.8,847.72,1521.72,273.0,6.0,24.0,7.0,13.0,0.0,24.0,24.0
Bendigo,2011,840054.0,15335.2,165193.3,3437.5,11282.8,3.1,49900.7,165193.3,1711.0,218.0,1513.0,983.0,344.0,0.0,519.0,1513.0
Bendigo,2012,822665.5,13387.4,205487.0,2145.6,6836.8,3.1,63937.5,205487.0,1760.0,269.0,1688.0,884.0,334.0,0.0,489.0,1688.0
Bendigo,2013,823832.65,8556.74,148962.34,5703.92,17275.06,2.69,51436.44,138309.42,1538.0,431.0,1428.0,661.0,237.0,0.0,494.0,494.0
Bendigo,2014,800417.3,9523.45,216038.66,7375.42,10989.82,3.02,68773.24,207670.17,1536.0,247.0,1402.0,600.0,350.0,0.0,622.0,622.0
Bendigo,2015,777413.5,18651.61,160817.98,3662.06,12237.62,2.65,58316.48,154377.2,1022.0,195.0,938.0,361.0,177.0,0.0,347.0,347.0
Bendigo,2016,783427.54,4629.21,169844.01,2403.85,21140.61,2.44,66087.62,161154.7,1121.0,240.0,1093.0,533.0,211.0,0.0,426.0,426.0
Bendigo,2017,679264.32,16417.66,169194.3,1884.58,25549.57,2.67,61001.44,163054.43,979.0,204.0,878.0,418.0,142.0,0.0,406.0,406.0
Bendigo,2018,604135.34,13815.51,94437.71,1538.73,9608.88,2.65,33720.32,89355.27,914.0,231.0,812.0,369.0,150.0,0.0,237.0,237.0
Bendigo,2019,706223.09,20392.7,91172.14,1010.64,6970.3,2.11,39788.04,83935.02,1080.0,135.0,572.0,191.0,90.0,0.0,395.0,395.0
Bendigo,2020,392168.92,19489.87,130661.63,518.73,12193.58,2.23,56738.88,126516.96,549.5,62.0,350.0,48.0,71.0,0.0,349.0,349.0
Bendigo Surrounds - North,2020,119012.17,7765.76,11926.08,16.85,2402.4,2.43,4766.42,11579.47,155.0,13.0,39.0,3.0,16.0,0.0,39.0,39.0
Bendigo Surrounds - South,2020,30881.81,,1081.12,5.31,133.0,2.83,336.48,952.87,59.0,,7.0,2.0,1.0,0.0,7.0,7.0
Beresfield - Hexham,2020,559.01,,,,,,,,5.0,,,,,,,
Berkeley - Lake Heights - Cringila,2020,0.6,,,,,,,,1.0,,,,,,,
Berowra - Brooklyn - Cowan,2020,2.48,,1.74,,,4.97,1.86,9.23,1.0,,1.0,,,0.0,1.0,1.0
Berri,2020,99.5,,715.4,,,8.36,85.58,715.4,10.0,,9.0,,,0.0,9.0,9.0
Berriedale - Chigwell,2020,9.39,,5.87,0.59,,0.88,6.68,5.87,2.0,,2.0,1.0,,0.0,2.0,2.0
Berrimah,2020,32.99,4.65,4.65,,,1.67,2.79,4.65,2.0,1.0,1.0,,,0.0,1.0,1.0
Berry - Kangaroo Valley,2020,6897.32,,440.92,87.14,266.69,2.59,164.02,424.76,62.0,,6.0,4.0,2.0,0.0,6.0,6.0
Berwick - South West,2020,36.24,,61.37,60.4,,2.48,24.4,60.4,1.0,,1.0,1.0,,0.0,1.0,1.0
Bethania - Waterford,2020,92.91,,11.99,,11.99,2.58,4.64,11.99,1.0,,1.0,,1.0,0.0,1.0,1.0
Biloela,2020,48255.17,811.63,1330.91,200.0,,2.81,396.2,1115.0,30.0,3.0,4.0,1.0,,0.0,4.0,4.0
Bilpin - Colo - St Albans,2020,5127.65,,44.33,27.02,17.32,0.71,62.6,44.45,20.0,,7.0,5.0,1.0,0.0,7.0,7.0
Birkdale,2020,5.59,3.47,5.44,,,1.53,3.55,5.44,2.0,1.0,2.0,,,0.0,2.0,2.0
Blackburn,2020,53.26,,,,,,,,1.0,,,,,,,
Blackheath - Megalong Valley,2020,2163.41,,1.34,1.34,,0.5,2.68,1.34,9.0,,1.0,1.0,,0.0,1.0,1.0
Blacktown (North) - Marayong,2020,5.59,,,,,,,,1.0,,,,,,,
Blackwood,2020,38.92,,22.49,20.48,,0.0,0.0,22.49,2.0,,2.0,1.0,,0.0,2.0,2.0
Blayney,2020,163228.67,5.25,245.25,27.01,212.99,0.57,281.73,160.79,265.0,1.0,7.0,2.0,4.0,0.0,7.0,7.0
Bli Bli,2020,391.84,,15.76,10.89,,0.96,15.51,14.91,8.0,,3.0,3.0,,0.0,3.0,3.0
Blue Haven - San Remo,2020,0.73,,4423.99,,,6072.0,0.73,4423.99,1.0,,1.0,,,0.0,1.0,1.0
Bohle Plains,2020,7370.3,,,,,,,,4.0,,,,,,,
Bombala,2020,142706.97,,11.94,11.94,,0.33,35.83,11.94,125.0,,1.0,1.0,,0.0,1.0,1.0
Bonnyrigg Heights - Bonnyrigg,2020,8.06,,0.81,,,4.97,0.87,4.31,4.0,,1.0,,,0.0,1.0,1.0
Boonah,2020,126944.4,7018.26,16232.22,985.26,4175.04,2.77,5741.32,15877.44,327.0,65.0,118.0,29.0,49.0,0.0,118.0,118.0
Boondall,2020,12.49,,2.63,,2.63,2.0,1.31,2.63,2.0,,1.0,,1.0,0.0,1.0,1.0
Booral - River Heads,2020,8106.88,,1277.16,32.14,,2.81,453.81,1277.16,18.0,,8.0,1.0,,0.0,8.0,8.0
Boronia Heights - Park Ridge,2020,80.71,1.37,131.12,46.35,,5.09,28.29,143.91,10.0,2.0,7.0,6.0,,0.0,7.0,7.0
Bouldercombe,2020,125307.03,62.19,69.11,,6.92,4.09,22.85,93.4,42.0,1.0,2.0,,1.0,0.0,2.0,2.0
Bourke - Brewarrina,2020,4414924.51,500.0,27937.61,,25048.59,4.61,5970.44,27548.59,166.0,1.0,6.0,,6.0,0.0,6.0,6.0
Bowen,2020,34302.85,1121.75,1143.66,,21.92,2.2,523.04,1152.82,22.0,14.0,15.0,,1.0,0.0,15.0,15.0
Bowral,2020,602.77,11.98,42.05,5.64,23.75,1.12,36.62,40.95,7.0,2.0,3.0,2.0,1.0,0.0,3.0,3.0
Box Head - MacMasters Beach,2020,1.86,0.24,0.24,,,8.0,0.62,4.96,1.0,1.0,1.0,,,0.0,1.0,1.0
Box Hill - Nelson,2020,34.64,,,,,,,,2.0,,,,,,,
Brabham - Henley Brook,2020,31.58,43.77,43.77,,,2.38,18.4,43.77,5.0,4.0,4.0,,,0.0,4.0,4.0
Bradbury - Wedderburn,2020,45.79,,3.87,3.87,,8.46,1.53,12.92,1.0,,1.0,1.0,,0.0,1.0,1.0
Braidwood,2020,102989.08,9.64,142.1,1.4,131.07,2.08,70.85,147.32,152.0,3.0,9.0,2.0,4.0,0.0,9.0,9.0
Branxton - Greta - Pokolbin,2020,16913.06,37.43,1721.26,375.25,579.7,1.27,1325.87,1680.66,98.0,1.0,63.0,27.0,21.0,0.0,63.0,63.0
Branyan - Kensington,2020,264.83,,472.94,245.99,,3.53,133.86,472.94,7.0,,7.0,4.0,,0.0,7.0,7.0
Bridgetown - Boyup Brook,2020,171382.57,,84.11,84.11,,1.41,57.95,81.83,251.0,,8.0,8.0,,0.0,8.0,8.0
Bridgewater - Gagebrook,2020,334.53,,6.96,2.23,,1.71,4.07,6.96,4.0,,2.0,1.0,,0.0,2.0,2.0
Bright - Mount Beauty,2020,90607.51,241.1,2172.68,237.37,1677.39,2.31,914.15,2116.14,133.0,10.0,44.0,10.0,29.0,0.0,44.0,44.0
Brighton - Pontville,2020,4139.59,246.43,1926.12,192.2,498.54,2.4,588.48,1412.19,12.0,1.0,10.0,3.0,2.0,0.0,10.0,10.0
Brighton East,2020,9.72,,,,,,,,1.0,,,,,,,
Brisbane - East,2012,810.2,46.9,993.0,335.0,24.4,3.0,136.7,993.0,73.0,5.0,64.0,48.0,3.0,0.0,44.0,64.0
Brisbane - East,2013,1068.38,89.02,746.78,353.51,2.0,2.92,177.59,518.92,67.0,22.0,56.0,37.0,1.0,0.0,39.0,39.0
Brisbane - East,2014,775.54,52.68,916.39,571.65,,5.68,119.22,677.57,40.0,6.0,39.0,16.0,,0.0,17.0,17.0
Brisbane - East,2015,3358.24,37.14,1265.64,609.06,402.62,4.38,168.84,739.46,52.0,4.0,49.0,25.0,5.0,0.0,23.0,23.0
Brisbane - East,2016,35953.95,75.47,1084.1,756.9,2.44,6.08,120.47,732.75,41.0,6.0,41.0,23.0,1.0,0.0,21.0,21.0
Brisbane - East,2017,1857.59,81.59,817.88,257.59,,4.05,89.06,360.62,42.0,8.0,41.0,19.0,,0.0,22.0,22.0
Brisbane - East,2018,1006.13,76.7,500.71,248.77,11.62,8.53,42.7,364.15,45.0,10.0,40.0,13.0,3.0,0.0,24.0,24.0
Brisbane - East,2019,1531.12,437.05,1470.35,835.5,,5.82,211.8,1232.24,30.0,3.0,22.0,16.0,,0.0,16.0,16.0
Brisbane - East,2020,1425.18,88.69,544.51,362.42,,4.47,111.7,499.47,37.0,3.0,19.0,13.0,,0.0,19.0,19.0
Brisbane - North,2016,56.25,,2.01,,,,,,2.0,,2.0,,,,,
Brisbane - North,2017,33.93,,1.7,0.24,,,,,1.0,,1.0,1.0,,,,
Brisbane - North,2018,52.27,,13.04,0.4,11.29,2.0,5.65,11.29,6.0,,6.0,1.0,5.0,0.0,5.0,5.0
Brisbane - North,2019,30.0,,7.5,,,,,,1.0,,1.0,,,,,
Brisbane - North,2020,13.99,,17.62,,2.63,6.26,2.81,17.62,3.0,,2.0,,1.0,0.0,2.0,2.0
Brisbane - South,2012,8913.1,637.6,811.0,15.5,4.9,7.4,90.4,811.0,52.0,16.0,50.0,5.0,1.0,0.0,18.0,50.0
Brisbane - South,2013,189.24,532.58,554.64,1.36,,7.96,67.15,534.7,25.0,21.0,25.0,1.0,,0.0,23.0,23.0
Brisbane - South,2014,4722.14,67.7,1143.45,134.07,43.87,2.99,28.76,86.1,43.0,10.0,41.0,30.0,27.0,0.0,11.0,11.0
Brisbane - South,2015,4619.45,114.91,206.09,66.28,3.87,3.64,46.86,170.7,19.0,8.0,19.0,9.0,1.0,0.0,17.0,17.0
Brisbane - South,2016,78.93,243.41,263.79,6.32,4.21,9.28,27.3,253.21,12.0,3.0,5.0,1.0,1.0,0.0,4.0,4.0
Brisbane - South,2017,149.91,284.45,649.73,353.09,,4.55,139.94,636.35,27.0,11.0,27.0,12.0,,0.0,26.0,26.0
Brisbane - South,2018,4311.28,,101.63,86.55,,3.29,17.04,55.97,8.0,,8.0,7.0,,0.0,6.0,6.0
Brisbane - South,2019,281.33,83.31,209.56,101.16,,2.8,69.68,195.03,20.0,4.0,20.0,15.0,,0.0,19.0,19.0
Brisbane - South,2020,173.17,139.61,884.83,728.25,10.4,17.18,51.28,881.07,18.0,4.0,12.0,4.0,2.0,0.0,12.0,12.0
Brisbane - West,2012,63.4,,,,,,,,1.0,,,,,,,
Brisbane - West,2013,3.41,,,,,,,,1.0,,,,,,,
Brisbane - West,2014,2.77,,,,,,,,1.0,,,,,,,
Brisbane - West,2015,4502.67,16.82,44.4,23.78,0.68,5.04,3.76,18.93,7.0,3.0,5.0,3.0,1.0,0.0,2.0,2.0
Brisbane - West,2016,95.89,38.71,38.71,,,3.78,10.25,38.71,3.0,3.0,3.0,,,0.0,3.0,3.0
Brisbane - West,2017,166.5,,,,,,,,3.0,,,,,,,
Brisbane - West,2018,22159.85,196.43,274.2,48.03,29.74,,,,14.0,8.0,8.0,8.0,8.0,,,
Brisbane - West,2020,443.12,8.53,14.78,6.26,,2.36,6.28,14.78,6.0,2.0,2.0,2.0,,0.0,2.0,2.0
Brisbane Inner City,2011,660.9,,,,,,,,2.0,,,,,,,
Brisbane Inner City,2012,157.2,,2.2,2.2,,,,2.2,8.0,,7.0,7.0,,,,7.0
Brisbane Inner City,2014,464.0,23.83,636.68,364.53,154.78,1.76,306.6,539.86,5.0,3.0,4.0,1.0,3.0,0.0,4.0,4.0
Brisbane Inner City,2015,1602.0,51.74,139.0,87.26,,,,,2.0,1.0,1.0,1.0,,,,
Brisbane Inner City,2017,598.77,,357.77,225.23,95.0,1.4,222.62,310.77,4.0,,4.0,3.0,1.0,0.0,4.0,4.0
Brisbane Inner City,2019,,,10.29,10.29,,,,,,,10.0,10.0,,,,
Brisbane Inner City,2020,1.46,,,,,,,,1.0,,,,,,,
Brisbane-East,2011,1257.5,96.4,1426.2,1159.4,,2.6,169.3,1426.2,96.0,11.0,65.0,43.0,,0.0,36.0,65.0
Brisbane-North,2011,13.7,,1.7,,,,,1.7,1.0,,1.0,,,,,1.0
Brisbane-South,2011,5508.6,319.7,565.3,173.2,38.8,2.9,178.2,565.3,49.0,16.0,38.0,1.0,17.0,0.0,19.0,38.0
Brisbane-West,2011,62.8,,,,,,,,4.0,,,,,,,
Broadsound - Nebo,2020,2470386.72,2002.93,3434.95,1030.57,345.62,1.26,2689.7,3400.48,227.0,12.0,22.0,11.0,8.0,0.0,22.0,22.0
Broken Hill,2020,287414.83,,75.31,,75.31,5.0,15.06,75.31,12.0,,1.0,,1.0,0.0,1.0,1.0
Brookfield - Kenmore Hills,2020,14.77,7.95,13.63,5.68,,3.0,4.54,13.63,2.0,1.0,1.0,1.0,,0.0,1.0,1.0
Brookton,2020,608101.13,,,,,,,,276.0,,,,,,,
Broome,2020,1.27,0.25,0.25,,,0.4,0.63,0.25,1.0,1.0,1.0,,,0.0,1.0,1.0
Broulee - Tomakin,2020,149.89,,,,,,,,1.0,,,,,,,
Browns Plains,2020,22.65,,,,,,,,1.0,,,,,,,
Brunswick Heads - Ocean Shores,2020,140.59,,119.81,119.81,,26.26,4.56,119.81,3.0,,2.0,2.0,,0.0,2.0,2.0
Bruny Island - Kettering,2020,8720.4,78.12,207.09,86.57,42.41,2.31,88.59,204.86,21.0,1.0,10.0,10.0,1.0,0.0,10.0,10.0
Bruthen - Omeo,2020,233702.12,2290.24,9999.4,409.23,7251.97,2.18,4335.13,9440.72,287.0,16.0,50.0,5.0,38.0,0.0,50.0,50.0
Bulahdelah - Stroud,2020,42088.67,,67.38,26.83,40.55,1.36,49.44,67.38,97.0,,4.0,3.0,2.0,0.0,4.0,4.0
Bullsbrook,2020,7076.14,1638.35,1656.8,18.45,,8.5,195.45,1661.13,29.0,13.0,16.0,2.0,,0.0,16.0,16.0
Buloke,2020,706169.15,379.77,1625.44,,42.81,1.76,924.38,1625.44,424.0,1.0,7.0,,1.0,0.0,7.0,7.0
Bunbury,2011,663819.8,33006.1,110895.5,36787.0,1506.9,4.0,24815.1,110895.5,2620.0,679.0,2397.0,1593.0,382.0,0.0,1218.0,2397.0
Bunbury,2012,578711.7,25431.9,93588.9,29817.8,4104.5,3.8,22484.8,93588.9,2411.0,665.0,2240.0,1524.0,147.0,0.0,865.0,2240.0
Bunbury,2013,573379.77,23706.22,109352.73,31989.41,3408.7,4.46,22305.31,99509.59,2433.0,714.0,2263.0,1677.0,131.0,0.0,1112.0,1112.0
Bunbury,2014,509376.74,24411.79,91354.41,30978.62,2944.58,4.24,19106.39,81073.73,2285.0,603.0,2080.0,1263.0,332.0,0.0,1108.0,1108.0
Bunbury,2015,487489.54,36952.02,112509.12,36302.03,2549.84,4.54,22459.53,101965.38,1477.0,413.0,1404.0,1003.0,137.0,0.0,634.0,634.0
Bunbury,2016,503853.66,29200.94,107734.0,34403.88,3302.8,4.25,23201.56,98631.97,1590.0,398.0,1545.0,1068.0,218.0,0.0,712.0,712.0
Bunbury,2017,534078.02,27378.34,108150.39,37668.01,1871.97,3.73,25375.27,94541.75,1319.0,253.0,1266.0,927.0,119.0,0.0,563.0,563.0
Bunbury,2018,457200.72,45719.13,140508.48,34600.58,2936.4,5.37,24639.44,132220.95,1678.0,415.0,1526.0,964.0,131.0,0.0,605.0,605.0
Bunbury,2019,450665.98,36645.43,109767.67,32346.05,2125.99,4.33,22684.3,98262.06,1544.0,266.0,1036.0,636.0,113.0,0.0,563.0,563.0
Bunbury,2020,511702.69,36098.61,106029.07,34217.48,2152.88,4.82,21564.06,104009.75,1598.0,121.0,611.0,359.0,54.0,0.0,611.0,611.0
Bundaberg,2020,1000.0,,1050.0,650.0,,1.05,1000.0,1050.0,1.0,,1.0,1.0,,0.0,1.0,1.0
Bundaberg East - Kalkie,2020,1001.82,,201.57,,,4.33,46.55,201.57,7.0,,3.0,,,0.0,3.0,3.0
Bundaberg North - Gooburrum,2020,11278.76,3040.75,12836.54,209.63,,2.57,4979.49,12778.45,29.0,14.0,26.0,5.0,,0.0,26.0,26.0
Bundaberg Surrounds - North,2020,72265.4,12256.69,60799.3,6692.15,3529.22,3.78,15535.32,58716.99,196.0,49.0,138.0,45.0,31.0,0.0,138.0,138.0
Bundaberg Surrounds - South,2020,110605.35,11465.32,76785.59,13803.28,3991.97,3.84,19444.09,74636.63,226.0,66.0,165.0,63.0,22.0,0.0,165.0,165.0
Bundamba,2020,0.23,,1.16,,,5.0,0.23,1.16,1.0,,1.0,,,0.0,1.0,1.0
Buninyong,2020,1000.6,2.32,53.74,,51.38,0.06,60.95,3.6,4.0,1.0,2.0,,1.0,0.0,2.0,2.0
Bunyip - Garfield,2020,16400.44,866.82,2141.9,150.28,1099.9,1.75,1164.02,2039.79,154.0,7.0,32.0,13.0,15.0,0.0,32.0,32.0
Burdekin,2020,388922.36,169368.46,509438.23,5842.78,65246.65,7.39,67227.67,496955.98,469.0,253.0,412.0,28.0,72.0,0.0,410.0,410.0
Burdell - Mount Low,2020,855.24,,0.24,0.24,,2.34,6.02,14.12,3.0,,1.0,1.0,,0.0,1.0,1.0
Burnie - Ulverstone Surrounds,2020,24171.45,941.9,10946.99,6799.97,2505.8,2.49,4037.65,10045.63,185.0,18.0,92.0,78.0,18.0,0.0,91.0,91.0
Burnie - Wivenhoe,2020,23.18,,,,,,,,1.0,,,,,,,
Burnside - Wattle Park,2020,5.71,,0.8,,,0.14,5.71,0.8,1.0,,1.0,,,0.0,1.0,1.0
Burpengary,2020,13.26,2.76,81.83,22.8,,10.76,7.32,78.78,3.0,1.0,3.0,2.0,,0.0,3.0,3.0
Burpengary - East,2020,3372.34,0.23,7.71,,,1.55,4.98,7.71,4.0,1.0,3.0,,,0.0,3.0,3.0
Burrum - Fraser,2020,8942.63,3.64,244.59,194.28,46.28,4.35,66.02,287.34,24.0,1.0,5.0,4.0,1.0,0.0,5.0,5.0
Busselton - East,2020,4519.47,575.69,615.69,40.0,,3.02,204.05,615.69,11.0,1.0,2.0,1.0,,0.0,2.0,2.0
Busselton - West,2020,10367.96,98.33,139.13,6.22,34.58,5.11,26.99,137.99,23.0,3.0,4.0,1.0,1.0,0.0,4.0,4.0
Busselton Surrounds,2020,44550.29,4020.32,6402.76,2111.56,247.25,2.52,2475.02,6230.1,219.0,32.0,95.0,61.0,11.0,0.0,95.0,95.0
Byron Bay,2020,371.1,,2.51,,,0.06,43.99,2.51,6.0,,1.0,,,0.0,1.0,1.0
Caboolture - East,2020,613.09,,2736.13,2732.57,1.16,11.78,217.76,2565.69,10.0,,6.0,5.0,1.0,0.0,6.0,6.0
Caboolture - West,2020,151.61,,228.08,228.08,,3.32,68.71,228.08,6.0,,2.0,2.0,,0.0,2.0,2.0
Cabramatta - Lansvale,2020,3.96,24.65,24.65,,,8.29,2.97,24.65,1.0,1.0,1.0,,,0.0,1.0,1.0
Cairns,2011,1381410.9,24749.0,111986.6,5809.2,41181.9,4.3,25081.1,111986.6,2032.0,441.0,1304.0,299.0,638.0,0.0,669.0,1304.0
Cairns,2012,731612.4,22482.7,108556.4,4363.9,33072.8,4.7,22347.9,108556.4,1894.0,592.0,1279.0,334.0,494.0,0.0,566.0,1279.0
Cairns,2013,1400921.66,25145.1,117107.51,8374.65,35141.48,3.94,28653.52,113026.6,1868.0,543.0,1236.0,315.0,470.0,0.0,631.0,631.0
Cairns,2014,1469094.78,20334.29,110053.61,4349.55,46185.8,4.74,20498.78,97142.9,1797.0,489.0,1165.0,303.0,625.0,0.0,620.0,620.0
Cairns,2015,933890.93,36239.53,173356.01,4785.14,82446.18,4.7,36070.75,169504.07,1370.0,331.0,835.0,136.0,468.0,0.0,493.0,493.0
Cairns,2016,640180.92,30630.25,112413.39,2194.61,32188.54,5.17,20758.72,107420.53,1361.0,275.0,730.0,165.0,334.0,0.0,394.0,394.0
Cairns,2017,969287.32,34095.94,124700.9,2304.7,29523.88,5.18,23484.78,121708.21,1469.0,347.0,809.0,203.0,327.0,0.0,483.0,483.0
Cairns,2018,615047.25,17698.35,86443.71,3307.46,25631.2,4.2,19791.39,83203.92,1428.0,281.0,793.0,135.0,356.0,0.0,427.0,427.0
Cairns,2019,1002440.41,26590.01,102986.74,7138.88,35799.85,4.89,20464.63,99998.87,1343.0,209.0,613.0,118.0,266.0,0.0,457.0,457.0
Cairns,2020,764094.52,22426.52,99828.27,2610.15,36142.36,3.86,25741.77,99467.19,1429.0,172.0,442.0,45.0,205.0,0.0,442.0,442.0
Calga - Kulnura,2020,8990.27,448.38,4460.87,2927.04,1058.13,3.99,1112.11,4435.03,151.0,36.0,78.0,57.0,12.0,0.0,78.0,78.0
Caloundra Hinterland,2020,8894.02,82.82,697.44,47.24,567.38,2.75,267.99,735.84,58.0,4.0,14.0,7.0,8.0,0.0,14.0,14.0
Caloundra West - Baringa,2020,632.43,,192.49,192.49,,3.21,60.02,192.49,3.0,,2.0,2.0,,0.0,2.0,2.0
Cambooya - Wyreema,2020,13209.49,1866.31,1866.55,,,1.77,820.88,1455.34,59.0,27.0,27.0,,,0.0,27.0,27.0
Cambridge,2020,741.14,,284.22,,,1.75,162.01,284.22,15.0,,11.0,,,0.0,11.0,11.0
Camden - Ellis Lane,2020,324.77,,,,,,,,11.0,,,,,,,
Camperdown,2020,6087.83,717.93,1009.33,179.53,97.65,4.56,186.54,850.47,35.0,3.0,4.0,3.0,1.0,0.0,4.0,4.0
Canberra Airport,2020,118.48,,,,,,,,1.0,,,,,,,
Canberra East,2020,527.69,,0.0,,0.0,0.0,3.55,0.0,2.0,,1.0,,1.0,0.0,1.0,1.0
Cape York,2020,2807710.43,1390.78,5504.55,3000.0,957.67,5.03,1003.69,5048.5,63.0,8.0,9.0,1.0,1.0,0.0,9.0,9.0
Capel,2020,41440.99,14347.67,15310.63,34.86,584.33,12.5,1224.69,15310.63,89.0,19.0,27.0,1.0,8.0,0.0,27.0,27.0
Capital Region,2011,2729406.2,8231.6,38868.3,15403.1,12308.8,1.9,7676.6,38868.3,4520.0,1532.0,4214.0,3291.0,1969.0,0.0,471.0,4214.0
Capital Region,2012,2542078.4,18049.0,48443.5,10384.5,13583.2,1.8,12324.6,48443.5,4485.0,1466.0,4322.0,2830.0,1386.0,0.0,392.0,4322.0
Capital Region,2013,2670405.06,15087.12,48043.48,20012.1,9530.89,2.44,10261.88,25084.46,4369.0,1373.0,4207.0,2989.0,1153.0,0.0,522.0,522.0
Capital Region,2014,2223455.16,11342.47,40274.93,15373.4,10869.44,2.36,6217.35,14690.82,4190.0,1562.0,3986.0,2952.0,992.0,0.0,486.0,486.0
Capital Region,2015,2190060.3,11533.61,38252.92,10510.38,12331.49,1.25,12411.42,15507.5,2659.0,1019.0,2559.0,1761.0,1003.0,0.0,206.0,205.0
Capital Region,2016,2064658.21,6689.43,29147.99,11917.88,9467.99,2.23,5034.49,11235.83,2544.0,824.0,2448.0,1976.0,983.0,0.0,148.0,148.0
Capital Region,2017,1967729.82,6771.58,29117.95,9449.56,12144.08,2.26,4865.49,10989.31,2618.0,708.0,2510.0,1749.0,885.0,0.0,159.0,159.0
Capital Region,2018,2055615.87,13058.36,39472.83,11350.1,9746.69,2.61,5397.34,14080.26,2892.0,969.0,2781.0,2066.0,1129.0,0.0,228.0,228.0
Capital Region,2019,2257297.47,8331.76,24737.11,3918.35,6345.13,2.41,5450.79,13151.93,2610.0,512.0,1271.0,682.0,354.0,0.0,203.0,203.0
Capital Region,2020,2229960.98,2851.38,18795.42,4134.54,10962.57,2.08,8676.94,18057.52,2790.0,80.0,192.0,63.0,77.0,0.0,190.0,190.0
Carabooda - Pinjar,2020,2670.29,8325.58,8859.74,9.8,221.01,10.68,828.7,8851.1,50.0,38.0,41.0,1.0,1.0,0.0,41.0,41.0
Carnarvon,2020,499000.55,1946.08,7358.88,225.79,1691.88,5.95,1218.11,7253.16,131.0,36.0,112.0,7.0,37.0,0.0,112.0,112.0
