,,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Number of agricultural businesses,Number of agricultural businesses,Number of agricultural businesses,Number of agricultural businesses,Number of agricultural businesses,Number of agricultural businesses,Number of agricultural businesses,Number of agricultural businesses
Commodity description,,Area of holding - Total area (ha) (a),"Water source - Groundwater (e.g. bores, springs, wells) - Total volume used (ML)",Water source - Total volume of water from all sources (ML) (b),Water source - Water taken from on-farm dams or tanks - Total volume used (ML),"Water source - Water taken from rivers, creeks, lakes, etc. - Total volume used (ML)",Water use - Total application rate (ML/ha),Water use - Total area watered (ha),Water use - Total volume applied (ML),Area of holding - Total area (ha) (a),"Water source - Groundwater (e.g. bores, springs, wells) - Total volume used (ML)",Water source - Total volume of water from all sources (ML) (b),Water source - Water taken from on-farm dams or tanks - Total volume used (ML),"Water source - Water taken from rivers, creeks, lakes, etc. - Total volume used (ML)",Water use - Total application rate (ML/ha),Water use - Total area watered (ha),Water use - Total volume applied (ML)
Region label,Year,,,,,,,,,,,,,,,,
Barossa - Yorke - Mid North,2012,4446057.5,16009.7,44510.9,10396.1,993.2,1.6,17192.4,44510.9,3670.0,1311.0,2923.0,1204.0,195.0,0.0,630.0,2923.0
Barossa - Yorke - Mid North,2013,4209233.98,9805.75,28487.24,6275.52,949.65,1.18,15295.24,18029.26,3624.0,1336.0,2820.0,1070.0,128.0,0.0,862.0,862.0
Barossa - Yorke - Mid North,2014,3536234.9,8236.56,28196.99,6451.55,2306.25,1.22,13861.61,16971.67,3324.0,1174.0,2652.0,821.0,319.0,0.0,862.0,862.0
Barossa - Yorke - Mid North,2015,3602942.62,11988.01,42590.39,4943.09,2765.34,0.91,21064.59,19247.68,2711.0,965.0,2197.0,685.0,187.0,0.0,417.0,417.0
Barossa - Yorke - Mid North,2016,3428882.06,8720.74,33948.64,6567.15,2484.92,0.44,38417.63,17087.47,2806.0,1143.0,2372.0,884.0,219.0,0.0,484.0,484.0
Barossa - Yorke - Mid North,2017,4249067.01,9586.35,33901.88,5180.97,3378.06,1.19,19389.34,23124.79,3069.0,1129.0,2617.0,853.0,139.0,0.0,520.0,520.0
Barossa - Yorke - Mid North,2018,4232723.32,42298.12,65566.99,2439.56,3096.47,1.7,32652.63,55416.99,3128.0,1093.0,2645.0,627.0,221.0,0.0,541.0,541.0
Barossa - Yorke - Mid North,2019,4030934.46,6414.11,36727.7,4094.01,4687.38,1.31,22462.15,29524.2,2976.0,695.0,1664.0,448.0,146.0,0.0,552.0,552.0
Barossa - Yorke - Mid North,2020,3991163.78,9485.38,35157.46,1307.12,4995.46,2.0,17212.25,34371.46,2648.0,185.0,390.0,66.0,35.0,0.0,390.0,390.0
Barossa-Yorke-Mid North,2011,3726481.5,8031.7,25939.5,4222.6,928.3,0.7,15585.0,25939.5,3762.0,1157.0,3078.0,1196.0,332.0,0.0,703.0,3078.0
Barwon Heads - Armstrong Creek,2020,2523.09,,,,,,,,7.0,,,,,,,
Bathurst - East,2020,3314.15,46.38,389.73,,343.35,2.43,160.2,389.73,18.0,3.0,8.0,,4.0,0.0,8.0,8.0
Bathurst - South,2020,6015.84,,226.65,,226.65,1.48,153.04,226.65,11.0,,2.0,,2.0,0.0,2.0,2.0
Bathurst - West,2020,2588.03,,627.04,,507.0,2.57,244.01,627.04,12.0,,3.0,,2.0,0.0,3.0,3.0
Bathurst Surrounds,2020,170159.26,96.63,1164.0,24.92,1042.46,2.11,551.42,1164.12,273.0,3.0,17.0,5.0,11.0,0.0,17.0,17.0
